id,name,aadhaar,bank_account,bank_name,address,district,scheme,amount,dob,mobile,registration_date
1,Savita Patel,023641224740,98537203350,Punjab National Bank,"House 938, Rampur, Lakhimpur",Lakhimpur,NSP Scholarship,6597.85,1989-12-28,9325107155,2023-11-13
2,Mohan Singh,242869904137,97723692929,UCO Bank,"House 271, Krishnanagar, Sonitpur",Sonitpur,PMKVY Skill Dev,16690.24,1970-07-05,9799136621,2025-08-05
3,Saroj Kumar,063140352635,60229394694,Bank of Baroda,"House 963, Bapunagar, Varanasi",Varanasi,NSP Scholarship,9629.7,1976-10-16,9606664374,2022-04-27
4,Sunita Das,037811057039,16184959310,UCO Bank,"House 389, Model Town, Allahabad",Allahabad,MGNREGA,12257.83,1995-10-30,9667005994,2023-06-06
5,Anjali Jha,772966563370,14005278105,Punjab National Bank,"House 665, Nehru Vihar, Darrang",Darrang,MGNREGA,10899.42,1997-02-26,9002722142,2023-11-23
6,Mangala Pandey,358841834374,01827279559,Canara Bank,"House 675, Nehru Vihar, Kanpur",Kanpur,NSP Scholarship,11111.47,1972-04-30,9150267551,2024-08-20
7,Mangala Rani,133793766997,79402654235,Canara Bank,"House 547, Rampur, Goalpara",Goalpara,PM-KISAN,4974.17,1967-06-15,9085571749,2021-12-31
8,Anita Gupta,616949637881,19389990682,State Bank of India,"House 117, Model Town, Darrang",Darrang,PM Awas Yojana,126215.44,2000-02-02,9716753216,2024-06-10
9,Rekha Singh,940422456411,99255125380,Canara Bank,"House 790, Nehru Vihar, Gorakhpur",Gorakhpur,NSAP Pension,2116.54,1993-01-27,9350534941,2022-03-25
10,Rekha Ghosh,403690034324,45107622683,UCO Bank,"House 573, Model Town, Lucknow",Lucknow,PMKVY Skill Dev,16016.58,1969-06-23,9160607159,2023-04-12
11,Kiran Devi,806274566983,11111111111,UCO Bank,"House 653, Nehru Vihar, Barpeta",Barpeta,PMKVY Skill Dev,18974.63,1969-12-30,9907429414,2024-11-18
12,Anita Kumar,279371452111,75186892686,State Bank of India,"House 787, Krishnanagar, Sivasagar",Sivasagar,PM Awas Yojana,147367.58,1987-10-14,9222064474,2022-03-05
13,Mohan Gupta,019072587339,30493665380,Bank of Baroda,"House 467, Bapunagar, Sivasagar",Sivasagar,PM-KISAN,5507.49,1974-03-16,9812421140,2022-07-22
14,Geeta Reddy,919817755129,44149253164,UCO Bank,"House 555, Krishnanagar, Darrang",Darrang,PM Awas Yojana,135600.4,1979-04-25,9859747765,2023-07-24
15,Ramesh Nath,318641761302,36416936835,UCO Bank,"House 606, Rampur, Sonitpur",Sonitpur,MGNREGA,7965.93,1959-10-06,9640323919,2021-07-27
16,Meera Nath,053970798661,77067368205,State Bank of India,"House 386, Nehru Vihar, Gorakhpur",Gorakhpur,NSP Scholarship,4292.67,1985-11-30,9235521650,2021-04-30
17,Kavita Das,423041202706,15927387402,UCO Bank,"House 635, Rampur, Jorhat",Jorhat,PMKVY Skill Dev,13317.37,1993-08-04,9669063224,2022-09-16
18,Bharat Mukherjee,754036488215,97738546623,Bank of Baroda,"House 237, Gandhi Nagar, Kanpur",Kanpur,PM-KISAN,2153.76,1965-01-27,9799864912,2023-08-06
19,Saroj Sharma,297102481717,52421495511,Bank of Baroda,"House 728, Model Town, Lakhimpur",Lakhimpur,PMKVY Skill Dev,13528.89,1958-10-17,9472197054,2023-06-09
20,Dinesh Devi,968891096196,00000000000,UCO Bank,"House 50, Shantinagar, Kanpur",Kanpur,PM Awas Yojana,130779.31,1970-05-30,9211203608,2024-12-31
21,Anita Das,527284539749,95070886406,Canara Bank,"House 373, Model Town, Allahabad",Allahabad,Ayushman Bharat,23575.25,1999-04-21,9208019290,2024-10-03
22,Rajesh Pandey,985601256253,13552510505,Bank of Baroda,"House 477, Nehru Vihar, Goalpara",Goalpara,PMKVY Skill Dev,17542.87,1980-05-18,9816493831,2022-07-17
23,Sunita Gupta,190518812988,61820706690,State Bank of India,"House 49, Gandhi Nagar, Sivasagar",Sivasagar,NSP Scholarship,8275.23,1981-07-25,9729826893,2024-06-06
24,Lalita Tiwari,907869285516,21593896763,Punjab National Bank,"House 203, Model Town, Varanasi",Varanasi,NSAP Pension,3599.43,1979-09-15,9558960707,2024-12-19
25,Ashok Sharma,832192855445,18952028457,Canara Bank,"House 349, Krishnanagar, Goalpara",Goalpara,PM Awas Yojana,123072.54,1987-05-21,9833898881,2023-05-07
26,Ashok Tiwari,302116673290,45759887592,State Bank of India,"House 176, Nehru Vihar, Sonitpur",Sonitpur,Ayushman Bharat,38162.6,1963-04-04,9426033620,2021-10-17
27,Mangala Verma,284971859484,91025625889,Canara Bank,"House 489, Nehru Vihar, Sivasagar",Sivasagar,PM-KISAN,2510.29,2000-05-25,9822269405,2021-09-20
28,Mohan Gupta,412462095200,46152654610,Bank of Baroda,"House 246, Model Town, Nagaon",Nagaon,PM Awas Yojana,137910.14,1980-01-13,9788614057,2022-08-02
29,Saroj Reddy,795453817921,71747733294,Punjab National Bank,"House 402, Krishnanagar, Nagaon",Nagaon,NSP Scholarship,9296.53,1971-08-13,9577017157,2023-02-06
30,Dinesh Patel,567027728715,11615594078,Canara Bank,"House 375, Nehru Vihar, Dhubri",Dhubri,PM Awas Yojana,132944.8,1968-03-24,9794575959,2022-06-28
31,Vinod Ghosh,081770388608,68034764472,Canara Bank,"House 302, Nehru Vihar, Varanasi",Varanasi,PMKVY Skill Dev,19028.39,1988-06-28,9771812982,2023-06-25
32,Bharat Rani,852386003044,36199517152,Bank of Baroda,"House 893, Bapunagar, Allahabad",Allahabad,NSP Scholarship,8134.65,1992-11-08,9029295014,2024-07-27
33,Prakash Devi,690018429335,98474229835,UCO Bank,"House 428, Bapunagar, Goalpara",Goalpara,Ayushman Bharat,23694.73,1958-01-26,9715390226,2021-05-16
34,Sanjay Verma,067275208854,74929751702,UCO Bank,"House 120, Shantinagar, Nagaon",Nagaon,PMKVY Skill Dev,8297.55,1981-06-25,9751509398,2024-06-10
35,Ashok Ghosh,290457927147,24630198642,Punjab National Bank,"House 136, Krishnanagar, Sivasagar",Sivasagar,PMKVY Skill Dev,17979.7,1980-12-09,9972833912,2025-01-20
36,Mangala Rani,565749025042,90193588953,Canara Bank,"House 851, Nehru Vihar, Jorhat",Jorhat,PMKVY Skill Dev,8391.19,1987-10-15,9611398986,2022-08-31
37,Kiran Reddy,294455116682,97327021648,Canara Bank,"House 761, Rampur, Kanpur",Kanpur,Ayushman Bharat,10687.91,1998-03-12,9602128866,2023-09-13
38,Anjali Ghosh,697421736838,50957093409,UCO Bank,"House 88, Gandhi Nagar, Kanpur",Kanpur,MGNREGA,11195.62,1928-03-16,9081136403,2024-02-22
39,Prakash Gupta,626114243625,85421880879,UCO Bank,"House 101, Bapunagar, Lakhimpur",Lakhimpur,MGNREGA,10473.3,1964-09-07,9234199643,2024-07-23
40,Sunita Mishra,210972021707,54853465579,Bank of Baroda,"House 880, Model Town, Darrang",Darrang,PM Awas Yojana,123769.83,1979-04-28,9004496461,2024-11-08
41,Sanjay Nath,651364424936,31230347786,Canara Bank,"House 663, Rampur, Lucknow",Lucknow,NSAP Pension,2648.36,1976-10-13,9204482070,2025-05-17
42,Ramesh Reddy,543173505831,99717911006,Punjab National Bank,"House 912, Model Town, Sivasagar",Sivasagar,NSAP Pension,4712.13,1989-10-22,9070496110,2022-07-20
43,Rekha Devi,283599940041,08479135113,Punjab National Bank,"House 684, Rampur, Gorakhpur",Gorakhpur,PM Awas Yojana,144781.28,1973-01-16,9357228920,2023-03-28
44,Mohan Mishra,288377441975,46617662047,State Bank of India,"House 578, Gandhi Nagar, Barpeta",Barpeta,MGNREGA,3132.24,1974-02-02,9097052774,2025-08-20
45,Rekha Reddy,086416862278,37693898331,Punjab National Bank,"House 796, Gandhi Nagar, Jorhat",Jorhat,PM-KISAN,3293.65,1993-03-19,9166553559,2022-01-04
46,Rajesh Iyer,245937526547,93564651939,UCO Bank,"House 185, Bapunagar, Dhubri",Dhubri,PM Awas Yojana,143028.54,1998-11-02,9737416724,2024-04-30
47,Sunita Reddy,185488064420,06298778735,UCO Bank,"House 336, Model Town, Sonitpur",Sonitpur,PM-KISAN,4947.0,1966-06-20,9646419623,2024-01-10
48,Sunita Gupta,342669806908,72617607234,UCO Bank,"House 966, Bapunagar, Sonitpur",Sonitpur,MGNREGA,5737.32,1981-06-24,9595382804,2025-09-01
49,Suresh Kumar,124825544286,79632594232,UCO Bank,"House 758, Nehru Vihar, Dhubri",Dhubri,PMKVY Skill Dev,18160.92,1966-02-20,9338915624,2025-03-28
50,Santosh Gupta,055543840460,84325621689,Bank of Baroda,"House 428, Krishnanagar, Dhubri",Dhubri,Ayushman Bharat,30780.43,1962-12-28,9495782329,2022-08-26
51,Geeta Roy,085173289514,56340918580,Punjab National Bank,"House 355, Nehru Vihar, Kanpur",Kanpur,PMKVY Skill Dev,16903.85,1992-09-08,9574496539,2021-12-13
52,Priya Pandey,826899962697,08386888917,UCO Bank,"House 699, Bapunagar, Sivasagar",Sivasagar,PMKVY Skill Dev,15690.06,1994-09-25,9505962571,2022-06-29
53,Mohan Devi,278630900712,10242344730,Punjab National Bank,"House 757, Bapunagar, Gorakhpur",Gorakhpur,PM Awas Yojana,134502.85,1961-02-22,9719619971,2023-07-30
54,Priya Ghosh,750997700886,00848408621,State Bank of India,"House 537, Krishnanagar, Nagaon",Nagaon,PM-KISAN,2963.88,1978-08-09,9546156793,2021-10-11
55,Anita Kumar,547360157911,50101626008,State Bank of India,"House 138, Gandhi Nagar, Allahabad",Allahabad,PM-KISAN,3394.6,1982-07-04,9475978335,2024-01-25
56,Meera Pandey,308952312021,91505764497,Punjab National Bank,"House 492, Rampur, Kanpur",Kanpur,Ayushman Bharat,36993.49,2001-02-21,9268764486,2022-11-26
57,Suresh Mishra,104332181960,17489030458,UCO Bank,"House 8, Bapunagar, Nagaon",Nagaon,Ayushman Bharat,39165.45,1959-01-02,9186142293,2023-08-16
58,Anita Rani,757475833920,56775677722,Canara Bank,"House 430, Rampur, Darrang",Darrang,PM Awas Yojana,146200.85,1972-11-01,9626506229,2024-08-27
59,Rajan Devi,867362266093,79660334191,UCO Bank,"House 192, Shantinagar, Nagaon",Nagaon,PMKVY Skill Dev,11911.82,1960-03-14,9147859696,2022-05-24
60,Usha Singh,740635168522,47675125837,UCO Bank,"House 608, Rampur, Sonitpur",Sonitpur,NSP Scholarship,3556.64,1918-05-21,9536693327,2023-04-02
61,Kavita Sharma,385445770299,29596604873,Canara Bank,"House 944, Nehru Vihar, Dhubri",Dhubri,PMKVY Skill Dev,9580.37,1990-03-04,9163319422,2021-05-21
62,Sunita Ghosh,444218299874,78122489056,Canara Bank,"House 42, Nehru Vihar, Sivasagar",Sivasagar,NSP Scholarship,6912.21,1998-11-23,9090043655,2025-03-10
63,Sunita Reddy,656523413899,94043898364,State Bank of India,"House 803, Model Town, Nagaon",Nagaon,NSAP Pension,5809.62,1956-11-07,9613791805,2023-11-29
